movieId,Ratings,class
1,3.9,yes
2,3.4,yes
3,3.3,yes
4,2.4,no
5,3.1,yes
6,3.9,yes
7,3.2,yes
8,2.9,no
9,3.1,yes
10,3.5,yes
11,3.7,yes
12,2.4,no
13,3.1,yes
14,3.8,yes
15,3,yes
16,3.9,yes
17,3.8,yes
18,3.7,yes
19,2.7,no
20,2.5,no
21,3.5,yes
22,3.2,yes
23,3.1,yes
24,3.1,yes
25,3.6,yes
26,3.5,yes
27,3.3,yes
28,4.2,yes
29,4,yes
30,3,yes
31,3.2,yes
32,4,yes
34,3.7,yes
36,3.8,yes
38,2.1,no
39,3.3,yes
40,4.2,yes
41,3.7,yes
42,3,yes
43,3.2,yes
44,2.5,no
45,3.3,yes
46,3.1,yes
47,4,yes
48,3.1,yes
49,3,yes
50,4.2,yes
52,3.5,yes
53,5,yes
54,2.3,no
55,4,yes
57,3.1,yes
58,4,yes
60,3.2,yes
61,3.8,yes
62,3.7,yes
63,2.7,no
64,2.2,no
65,2.5,no
66,2.5,no
68,3.4,yes
69,3.8,yes
70,3.5,yes
71,1.7,no
72,3.2,yes
73,3.5,yes
74,4,yes
75,2.2,no
76,3.4,yes
77,4,yes
78,3.3,yes
79,2.8,no
80,4,yes
81,3.1,yes
82,3.9,yes
83,3,yes
85,3.9,yes
86,4,yes
87,2.5,no
88,3.2,yes
89,3.2,yes
92,2.6,no
93,2.8,no
94,4,yes
95,3,yes
96,3.5,yes
97,3.9,yes
99,5,yes
100,2.8,no
101,3.8,yes
102,2.4,no
103,3,yes
104,3.4,yes
105,3.3,yes
106,4,yes
107,3.3,yes
108,4,yes
110,4,yes
111,4.1,yes
112,3.5,yes
113,3.3,yes
116,3.9,yes
117,3,yes
118,2.5,no
119,3,yes
121,4,yes
122,2.7,no
123,4.4,yes
125,3.6,yes
126,2,no
128,3,yes
129,2,no
132,2.8,no
135,3,yes
137,3,yes
140,3.5,yes
141,3.5,yes
144,3.3,yes
145,3.2,yes
146,3.3,yes
147,3.5,yes
148,5,yes
149,2,no
150,3.8,yes
151,3.5,yes
152,1.5,no
153,2.9,no
154,3.9,yes
155,2.4,no
156,3.3,yes
157,2.9,no
158,2.8,no
159,2.9,no
160,2.9,no
161,3.6,yes
162,4.2,yes
163,3.6,yes
164,3.3,yes
165,3.6,yes
166,2.8,no
168,3.1,yes
169,2.4,no
170,3.2,yes
171,3.8,yes
172,2.7,no
173,2.7,no
174,2.7,no
175,4,yes
176,4.3,yes
177,2.8,no
178,1,no
179,1.5,no
180,3.4,yes
181,2.3,no
183,3.5,yes
184,3.5,yes
185,3,yes
186,2.8,no
187,4.1,yes
188,3.5,yes
189,3,yes
190,2.8,no
191,2.4,no
193,2.5,no
194,3.7,yes
195,3.1,yes
196,2.7,no
198,3.2,yes
199,4.1,yes
201,3,yes
202,3,yes
203,3.4,yes
204,2.7,no
205,3.2,yes
206,3,yes
207,3.4,yes
208,2.9,no
209,3.2,yes
210,3,yes
211,3.5,yes
212,3,yes
213,3.8,yes
214,4,yes
215,4,yes
216,3.3,yes
217,2.3,no
218,3.4,yes
219,3,yes
220,3,yes
222,3.8,yes
223,3.9,yes
224,3.6,yes
225,3.5,yes
227,2.9,no
