movieId,title,genres,imdbId,links,,,Ratings,Class,
1,Toy Story (1995),"2,3,4,5,9",114709,http://www.imdb.com/title/tt0114709,,,3.9,yes,
2,Jumanji (1995),"2,4,9",113497,http://www.imdb.com/title/tt0113497,,,3.4,yes,
3,Grumpier Old Men (1995),"5,14",113228,http://www.imdb.com/title/tt0113228,,,3.3,yes,
4,Waiting to Exhale (1995),"5,8,14",114885,http://www.imdb.com/title/tt0114885,,,2.4,no,
5,Father of the Bride Part II (1995),5,113041,http://www.imdb.com/title/tt0113041,,,3.1,yes,
6,Heat (1995),"1,6,16",113277,http://www.imdb.com/title/tt0113277,,,3.9,yes,
7,Sabrina (1995),"5,14",114319,http://www.imdb.com/title/tt0114319,,,3.2,yes,
8,Tom and Huck (1995),"2,4",112302,http://www.imdb.com/title/tt0112302,,,2.9,no,
9,Sudden Death (1995),1,114576,http://www.imdb.com/title/tt0114576,,,3.1,yes,
10,GoldenEye (1995),"1,2,16",113189,http://www.imdb.com/title/tt0113189,,,3.5,yes,
11,"American President, The (1995)","5,8,14",112346,http://www.imdb.com/title/tt0112346,,,3.7,yes,
12,Dracula: Dead and Loving It (1995),"5,11",112896,http://www.imdb.com/title/tt0112896,,,2.4,no,
13,Balto (1995),"2,3,4",112453,http://www.imdb.com/title/tt0112453,,,3.1,yes,
14,Nixon (1995),8,113987,http://www.imdb.com/title/tt0113987,,,3.8,yes,
15,Cutthroat Island (1995),"1,2,14",112760,http://www.imdb.com/title/tt0112760,,,3,no,
16,Casino (1995),"6,8",112641,http://www.imdb.com/title/tt0112641,,,3.9,yes,
17,Sense and Sensibility (1995),"8,14",114388,http://www.imdb.com/title/tt0114388,,,3.8,yes,
18,Four Rooms (1995),5,113101,http://www.imdb.com/title/tt0113101,,,3.7,yes,
19,Ace Ventura: When Nature Calls (1995),5,112281,http://www.imdb.com/title/tt0112281,,,2.7,no,
20,Money Train (1995),"1,5,6,8,16",113845,http://www.imdb.com/title/tt0113845,,,2.5,no,
21,Get Shorty (1995),"5,6,16",113161,http://www.imdb.com/title/tt0113161,,,3.5,yes,
22,Copycat (1995),"6,8,11,13,16",112722,http://www.imdb.com/title/tt0112722,,,3.2,yes,
23,Assassins (1995),"1,6,16",112401,http://www.imdb.com/title/tt0112401,,,3.1,yes,
