movieId,title,genres,imdbId,links
1,Toy Story (1995),"2,3,4,5,9",114709,http://www.imdb.com/title/tt0114709
2,Jumanji (1995),"2,4,9",113497,http://www.imdb.com/title/tt0113497
3,Grumpier Old Men (1995),"5,14",113228,http://www.imdb.com/title/tt0113228
4,Waiting to Exhale (1995),"5,8,14",114885,http://www.imdb.com/title/tt0114885
5,Father of the Bride Part II (1995),5,113041,http://www.imdb.com/title/tt0113041
6,Heat (1995),"1,6,16",113277,http://www.imdb.com/title/tt0113277
7,Sabrina (1995),"5,14",114319,http://www.imdb.com/title/tt0114319
8,Tom and Huck (1995),"2,4",112302,http://www.imdb.com/title/tt0112302
9,Sudden Death (1995),1,114576,http://www.imdb.com/title/tt0114576
10,GoldenEye (1995),"1,2,16",113189,http://www.imdb.com/title/tt0113189
11,"American President, The (1995)","5,8,14",112346,http://www.imdb.com/title/tt0112346
12,Dracula: Dead and Loving It (1995),"5,11",112896,http://www.imdb.com/title/tt0112896
13,Balto (1995),"2,3,4",112453,http://www.imdb.com/title/tt0112453
14,Nixon (1995),8,113987,http://www.imdb.com/title/tt0113987
15,Cutthroat Island (1995),"1,2,14",112760,http://www.imdb.com/title/tt0112760
16,Casino (1995),"6,8",112641,http://www.imdb.com/title/tt0112641
17,Sense and Sensibility (1995),"8,14",114388,http://www.imdb.com/title/tt0114388
18,Four Rooms (1995),5,113101,http://www.imdb.com/title/tt0113101
19,Ace Ventura: When Nature Calls (1995),5,112281,http://www.imdb.com/title/tt0112281
20,Money Train (1995),"1,5,6,8,16",113845,http://www.imdb.com/title/tt0113845
21,Get Shorty (1995),"5,6,16",113161,http://www.imdb.com/title/tt0113161
22,Copycat (1995),"6,8,11,13,16",112722,http://www.imdb.com/title/tt0112722
23,Assassins (1995),"1,6,16",112401,http://www.imdb.com/title/tt0112401
24,Powder (1995),"8,15",114168,http://www.imdb.com/title/tt0114168
25,Leaving Las Vegas (1995),"8,14",113627,http://www.imdb.com/title/tt0113627
26,Othello (1995),8,114057,http://www.imdb.com/title/tt0114057
27,Now and Then (1995),"4,8",114011,http://www.imdb.com/title/tt0114011
28,Persuasion (1995),"8,14",114117,http://www.imdb.com/title/tt0114117
29,"City of Lost 4, The (Cité des enfants perdus, La) (1995)","2,8,9,13,15",112682,http://www.imdb.com/title/tt0112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"6,8",115012,http://www.imdb.com/title/tt0115012
31,Dangerous Minds (1995),8,112792,http://www.imdb.com/title/tt0112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"13,15,16",114746,http://www.imdb.com/title/tt0114746
34,Babe (1995),"4,8",112431,http://www.imdb.com/title/tt0112431
36,Dead Man Walking (1995),"6,8",112818,http://www.imdb.com/title/tt0112818
38,It Takes Two (1995),"4,5",113442,http://www.imdb.com/title/tt0113442
39,Clueless (1995),"5,14",112697,http://www.imdb.com/title/tt0112697
40,"Cry, the Beloved Country (1995)",8,112749,http://www.imdb.com/title/tt0112749
41,Richard III (1995),"8,17",114279,http://www.imdb.com/title/tt0114279
42,Dead Presidents (1995),"1,6,8",112819,http://www.imdb.com/title/tt0112819
43,Restoration (1995),8,114272,http://www.imdb.com/title/tt0114272
44,Mortal Kombat (1995),"1,2,9",113855,http://www.imdb.com/title/tt0113855
45,To Die For (1995),"5,8,16",114681,http://www.imdb.com/title/tt0114681
46,How to Make an American Quilt (1995),"8,14",113347,http://www.imdb.com/title/tt0113347
47,Seven (a.k.a. Se7en) (1995),"13,16",114369,http://www.imdb.com/title/tt0114369
48,Pocahontas (1995),"3,4,8,12,14",114148,http://www.imdb.com/title/tt0114148
49,When Night Is Falling (1995),"8,14",114916,http://www.imdb.com/title/tt0114916
50,"Usual Suspects, The (1995)","6,13,16",114814,http://www.imdb.com/title/tt0114814
52,Mighty Aphrodite (1995),"5,8,14",113819,http://www.imdb.com/title/tt0113819
53,Lamerica (1994),"2,8",110299,http://www.imdb.com/title/tt0110299
54,"Big Green, The (1995)","4,5",112499,http://www.imdb.com/title/tt0112499
55,Georgia (1995),8,113158,http://www.imdb.com/title/tt0113158
57,Home for the Holidays (1995),8,113321,http://www.imdb.com/title/tt0113321
58,"Postman, The (Postino, Il) (1994)","5,8,14",110877,http://www.imdb.com/title/tt0110877
60,"Indian in the Cupboard, The (1995)","2,4,9",113419,http://www.imdb.com/title/tt0113419
61,Eye for an Eye (1996),"8,16",116260,http://www.imdb.com/title/tt0116260
62,Mr. Holland's Opus (1995),8,113862,http://www.imdb.com/title/tt0113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"5,6",116126,http://www.imdb.com/title/tt0116126
64,Two if by Sea (1996),"5,14",118002,http://www.imdb.com/title/tt0118002
65,Bio-Dome (1996),5,115683,http://www.imdb.com/title/tt0115683
